Country	alpha.3ISO	N_news	ISA	Education_Index_2019	Human_Development_Index_.HDI._2019	Internet_users_2018	PISA_Reading_2018	Pisa_Science_2018	Number_newspapers_Mean1996.2005	Press_Freedom_Index	N_Spiders	N_Deadly	Reference_N_Spiders
United Arab Emirates	ARE	28	0	0,802	0,89	98,5	432	434	8,33	43,13	151	4	World Spider Catalog 2021
Argentina	ARG	41	23	0,855	0,845	74,3	402	404	132,89	28,99	1393	16	World Spider Catalog 2021
Armenia	ARM	3	0	0,74	0,776	64,7	NA	NA	7	28,83	1118	1	World Spider Catalog 2021
Australia	AUS	79	32	0,924	0,944	86,5	503	503	50,89	19,79	3971	39	Framenau 2021
Azerbaijan	AZE	1	0	0,711	0,756	79,8	389	398	17,17	58,77	1303	2	World Spider Catalog 2021
Belgium	BEL	2	7	0,902	0,931	88,7	493	499	29	11,69	987	0	World Spider Catalog 2021
Bangladesh	BGD	3	1	0,529	0,632	15	NA	NA	23,4	49,71	412	0	National Encyclopedia of Bangledesh 2012
Bahrain	BHR	1	0	0,769	0,852	98,6	NA	NA	5,6	61,1	92	2	World Spider Catalog 2021
Bosnia	BIH	5	0	0,711	0,78	70,1	403	398	6,2	28,34	1258	2	World Spider Catalog 2021
Belarus	BLR	9	1	0,838	0,823	79,1	474	471	15	50,82	993	0	World Spider Catalog 2021
Bolivia	BOL	20	0	0,695	0,718	43,8	NA	NA	19,71	35,47	508	6	World Spider Catalog 2021
Brazil	BRA	167	39	0,694	0,765	67,5	413	404	461,89	36,25	4141	37	World Spider Catalog 2021
Botswana	BWA	0	1	0,676	0,735	47	NA	NA	1,13	23,25	406	4	World Spider Catalog 2021
Canada	CAN	109	18	0,894	0,929	91	520	518	105,44	15,25	1477	4	Bennet et al. 2019
Switzerland	CHE	6	15	0,9	0,955	89,7	484	495	92,22	10,55	1182	0	World Spider Catalog 2021
Chile	CHL	17	2	0,81	0,851	82,3	452	444	52,43	27,89	899	16	World Spider Catalog 2021
China	CHN	70	8	0,657	0,761	54,3	555	590	796,33	78,72	5191	7	World Spider Catalog 2021
Ivory Coast	CIV	1	0	0,453	0,538	46,8	NA	NA	16,71	28,87	563	4	World Spider Catalog 2021
Colombia	COL	9	7	0,682	0,767	62,3	412	413	25	43,74	1396	11	World Spider Catalog 2021
Czech Republic	CZE	184	8	0,89	0,9	80,7	490	497	76,78	23,38	1118	0	World Spider Catalog 2021
Germany	DEU	148	55	0,943	0,947	89,7	498	503	367,89	15,24	1159	1	World Spider Catalog 2021
Denmark	DNK	12	6	0,92	0,94	97,6	501	493	34,67	8,57	1000	0	World Spider Catalog 2021
Algeria	DZA	1	3	0,672	0,748	59,6	NA	NA	15,57	47,26	947	6	World Spider Catalog 2021
Ecuador	ECU	2	4	0,702	0,759	57,3	NA	NA	33,67	32,83	1151	13	World Spider Catalog 2021
Egypt	EGY	9	1	0,618	0,707	46,9	NA	NA	15,5	56,17	666	6	World Spider Catalog 2021
Spain	ESP	257	18	0,831	0,904	86,1	NA	483	133,33	20,44	2129	9	World Spider Catalog 2021
Estonia	EST	1	0	0,882	0,892	89,4	523	530	15	15,25	975	0	World Spider Catalog 2021
Finland	FIN	76	6	0,927	0,938	88,9	520	522	54,67	6,99	1030	1	World Spider Catalog 2021
France	FRA	319	16	0,817	0,901	82	493	493	97	22,6	1801	2	World Spider Catalog 2021
UK	GBR	1097	23	0,928	0,932	94,9	504	505	104,56	21,59	989	2	World Spider Catalog 2021
Greece	GRC	229	1	0,849	0,888	73	457	452	156	29,01	1710	2	World Spider Catalog 2021
Croatia	HRV	37	2	0,805	0,851	72,7	479	472	12	27,95	1327	2	World Spider Catalog 2021
Indonesia	IDN	75	2	0,65	0,718	39,8	371	396	645,6	37,4	2526	2	Gutierrez 2020 
India	IND	47	22	0,555	0,645	34,5	NA	NA	2196	46,56	1922	7	World Spider Catalog 2021
Iran	IRN	14	11	0,756	0,783	70	NA	NA	112,71	72,7	920	9	World Spider Catalog 2021
