Country,N_news,ISA,Education_Index_2019,Human_Development_Index_.HDI._2019,Internet_users_2018,PISA_Reading_2018,Pisa_Science_2018,Number_newspapers_Mean1996.2005,Press_Freedom_Index,alpha.3ISO,N_Spiders,N_Spiders_WSC,N_Deadly_WSC,N_Deadly,Reference_N_Spiders,Reference_N_Deadly
Algeria,1,3,0.672,0.748,59.6,NA,NA,15.57,168.12,DZA,719,947,8,3,"Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021","Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021"
Argentina,41,23,0.855,0.845,74.3,402,404,132.89,904.79,ARG,1393,1393,18,17,World Spider Catalog,World Spider Catalog minus mactans
Armenia,3,0,0.74,0.776,64.7,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
Australia,79,32,0.924,0.944,86.5,503,503,50.89,3882.09,AUS,3971,3962,38,38,Framenau V (2021) Checklist of Australian Spiders Version 1.45,Framenau V (2021) Checklist of Australian Spiders Version 1.45
Azerbaijan,1,0,0.711,0.756,79.8,389,398,17.17,NA,NA,NA,NA,NA,NA,NA,NA
Bahrain,1,0,0.769,0.852,98.6,NA,NA,5.6,361.99,BHR,92,92,3,2,World Spider Catalog,World Spider Catalog minus mactans
Bangladesh,3,1,0.529,0.632,15,NA,NA,23.4,NA,BGD,412,187,1,0,https://en.banglapedia.org/index.php/Spider,World Spider Catalog minus mactans
Belarus,9,1,0.838,0.823,79.1,474,471,15,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2,7,0.902,0.931,88.7,493,499,29,3292.96,BEL,740,987,0,0,"Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021","Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021"
Bolivia,20,0,0.695,0.718,43.8,NA,NA,19.71,110.6,BOL,508,508,7,6,World Spider Catalog,World Spider Catalog minus mactans
