Country	alpha-3ISO	N_Spiders	N_Spiders_WSC	N_Deadly_WSC	N_Deadly	Reference_N_Spiders	Reference_N_Deadly
Algeria	DZA	719	947	8	3	Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021	Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021
Argentina	ARG	1393	1393	18	17	World Spider Catalog	World Spider Catalog minus mactans
Australia	AUS	3971	3962	38	38	Framenau V (2021) Checklist of Australian Spiders Version 1.45	Framenau V (2021) Checklist of Australian Spiders Version 1.45
Bahrain	BHR	92	92	3	2	World Spider Catalog	World Spider Catalog minus mactans
Bangladesh	BGD	412	187	1	0	https://en.banglapedia.org/index.php/Spider	World Spider Catalog minus mactans
Belgium	BEL	740	987	0	0	Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021	Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021
Bolivia	BOL	508	508	7	6	World Spider Catalog	World Spider Catalog minus mactans
Bosnia	BIH	179	1258	2	1	Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021	Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021
Botswana	BWA	395	406	5	5	Eagle, V.A. 1985. Survey of the spider fauna of Botswana. Botswana Notes and Records 17: 131-139. AND Jocqu�, R., Alderwireldt, M. & Dippenaar-Schoeman, A.S. 2013. Biodiversity: an African perspective. In: Penney, D. Spider research in the 21st Century - trends and perspectives. Siri Scientific Press. Manchester, UK; World Spider Catalog (2020). 3.) World Spider Catalog. Version 21.5. Natural History Museum Bern, online at http://World Spider Catalog.nmbe.ch, accessed on 16/12/2020. doi: 10.24436/2	World Spider Catalog
Brazil	BRA	4141	4141	38	37	World Spider Catalog	World Spider Catalog minus mactans
Canada	CAN	1477	1145	5	2	Bennett R, Blagoev G, Copley C (2019) Araneae of Canada. In: Langor DW, Sheffield CS (Eds) The Biota of Canada � A Biodiversity Assessment. Part 1: The Terrestrial Arthropods. ZooKeys 819: 41-56.	Bennett R, Blagoev G, Copley C (2019) Araneae of Canada. In: Langor DW, Sheffield CS (Eds) The Biota of Canada � A Biodiversity Assessment. Part 1: The Terrestrial Arthropods. ZooKeys 819: 41-56.
Chile	CHL	899	899	17	16	World Spider Catalog	World Spider Catalog minus mactans
China	CHN	5084	5191	7	6	Li S (2020) Spider taxonomy for an advanced China. Zoological Systematics, 45(2): 73�77. doi: 10.11865/zs.202011	World Spider Catalog minus mactans
Colombia	COL	1396	1396	12	11	World Spider Catalog	World Spider Catalog minus mactans
Croatia	HRV	821	1327	2	2	Unpublished checklist (Katu_i_, L., Ozimec, R., Pavlek, M., Majer, M., Drak_i_, M., _uku_i_, A., Kolund_i_, E.)	Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021
Czech Republic	CZE	902	1118	0	0	Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021	Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021
Denmark	DNK	580	1000	0	0	Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021	Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021
Ecuador	ECU	1151	1151	13	12	World Spider Catalog	World Spider Catalog minus mactans
Egypt	EGY	379	666	7	4	Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021	Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021
Finland	FIN	657	1030	1	0	Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021	Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021
France	FRA	1607	1801	2	2	Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021	Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021
Germany	DEU	1012	1159	0	0	Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021	Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021
Greece	GRC	1183	1710	2	2	Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021	Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021
Iceland	ISL	84	991	0	0	Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021	Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021
India	IND	1875	1922	6	5	Caleb, J.T.D. & Sankaran, P.M. (2021). Araneae of India. Version 2021, online at http://www.indianspiders.in, accessed on 1 Sept 2021	Caleb, J.T.D. & Sankaran, P.M. (2021). Araneae of India. Version 2021, online at http://www.indianspiders.in, accessed on 1 Sept 2021
Indonesia	IDN	2526	2461	2	2	Gutierrez, R.D. (2020). Checklist of Spiders (Arachnida: Araneae) of Indonesia and New Guinea.	Gutierrez, R.D. (2020). Checklist of Spiders (Arachnida: Araneae) of Indonesia and New Guinea.
Iran	IRN	825	920	11	7	Zamani, A., Mirshamsi, O., Marusik, Y. M. & Moradmand, M. (2021). The Checklist of the Spiders of Iran. Version 2021, Online at http://www.spiders.ir, accessed 31 Aug 2021	Zamani, A., Mirshamsi, O., Marusik, Y. M. & Moradmand, M. (2021). The Checklist of the Spiders of Iran. Version 2021, Online at http://www.spiders.ir, accessed 31 Aug 2021
Iraq	IRQ	54	174	5	2	Fomichev et al. (2018) New data on spiders (Arachnida: Araneae) of Iraq. Zoology in the Middle East. 64(4):329�339. http://dx.doi.org/10.1080/09397140.2018.1484018	Fomichev et al. (2018) New data on spiders (Arachnida: Araneae) of Iraq. Zoology in the Middle East. 64(4):329�339. http://dx.doi.org/10.1080/09397140.2018.1484018
Israel	ISR	758	686	7	7	Zonstein & Marusik, 2013 (Checklist of the spiders (Araneae) of Israel - 631), additions are from World Spider Catalog and from HUJ catalog	Zonstein & Marusik, 2013 (Checklist of the spiders (Araneae) of Israel 
Italy	ITA	1688	1806	2	2	Pantini P., Isaia M. (2019). Araneae.it: the online Catalog of Italian spiders with addenda on other Arachnid Orders occurring in Italy (Arachnida: Araneae, Opiliones, Palpigradi, Pseudoscorpionida, Scorpiones, Solifugae). Fragmenta Entomologica, 51(2): 127-152. Online at www.araneae.it, accessed on 31 Aug 2021	Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021
Ivory Coast	CIV	331	563	5	5	Kevin et al. (2021) State of Knowledge on Spiders (Arachnids, Araneae) In Co_te d'Ivoire (West Africa). IAR J Agri Res Life Sci, 2(2): 9-16. DOI : 10.47310/iarjals.2021.v02i02.002	World Spider Catalog
Jordan	JOR	56	146	4	3	Shakhatreh MR, Amr ZS, Abu Baker MR (2021) Spiders of Jordan: A preliminary Study. Turkish Journal of Bioscience and Collections, 5(1), 1-11. https://doi.org/10.26650/tjbc.2021822162	World Spider Catalog minus mactans
Kenya	KEN	805	1011	6	6	Kioko, G. M., Marusik, Y. M., Li, S. Q., Kioko, E. N. & Ji, L. Q. (2021). Checklist of the spiders (Araneae) of Kenya. African Invertebrates 62(1): 49-229. doi:10.3897/AfrInvertebr.62.58776	Kioko, G. M., Marusik, Y. M., Li, S. Q., Kioko, E. N. & Ji, L. Q. (2021). Checklist of the spiders (Araneae) of Kenya. African Invertebrates 62(1): 49-229. doi:10.3897/AfrInvertebr.62.58776
Lebanon	LBN	301	301	5	4	World Spider Catalog	World Spider Catalog minus mactans
Madagascar	MDG	640	1275	6	2	Nicolas Henon, Inventaire des araign�es de la for�t d'Ambodiriana et de ses alentours - Madagascar 2014 ADEFA 787.	Nicolas Henon, Inventaire des araign�es de la for�t d'Ambodiriana et de ses alentours - Madagascar 2014 ADEFA 787.
Malaysia (Peninsular Malaysia)	MYS	732	1002	2	0	Norma-Rashid, Y. & D. Li. 2009. A checklist of spiders (Arachnida: Araneae) from Peninsular Malaysia inclusive of twenty new records. Raffles Bulletin of Zoology. 57(2): 305-322.	Norma-Rashid, Y. & D. Li. 2009. A checklist of spiders (Arachnida: Araneae) from Peninsular Malaysia inclusive of twenty new records. Raffles Bulletin of Zoology. 57(2): 305-322. AND Joseph K.H. Koh, Y. Norma-Rashid & James W.B. Koh. 2013. A preliminary checklist of Sarawak spiders. Sarawak Museum Journal. Vol. LXXI, No. 92.
Mexico	MEX	2662	2662	43	43	World Spider Catalog	World Spider Catalog
Montenegro	MNE	671	1258	2	1	Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021	Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021
Morocco	MAR	440	693	7	0	Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021	Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021
Namibia	NAM	610	641	12	12	"Griffin, E & Dippenaar-Schoeman, A.S., (1991). A checkIist of, and references to, the Namibian spider fauna + World Spider Catalogue, 2021 
(Arachnids, Araneae)."	World Spider Catalog
New Zealand	NZL	1992	1162	2	2	Paquin P, Vink CJ & Dup�rr� N. 2010. Spiders of New Zealand: annotated family key & species list. Lincoln, N.Z.: Manaaki Whenua Press.	World Spider Catalog
Nigeria	NGA	482	482	4	4	World Spider Catalog	World Spider Catalog
Norway	NOR	636	1011	0	0	Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021	Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021
Palestine	PSE	246	246	5	4	World Spider Catalog	World Spider Catalog minus mactans
Panama	PAN	1202	1202	4	4	World Spider Catalog	World Spider Catalog
Paraguay	PRY	482	482	9	8	World Spider Catalog	World Spider Catalog minus mactans
Peru	PER	1331	1331	31	30	World Spider Catalog	World Spider Catalog minus mactans
Philippines	PHL	651	651	2	1	World Spider Catalog	World Spider Catalog minus mactans
Poland	POL	847	1105	1	0	Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021	Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021
Portugal	PRT	850	1410	1	2	Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021	Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021
Puerto Rico	PRI	292	292	2	2	World Spider Catalog	World Spider Catalog
Qatar	QAT	90	90	3	2	World Spider Catalog	World Spider Catalog minus mactans
Saudi Arabia	SAU	183	183	5	4	World Spider Catalog	World Spider Catalog minus mactans
Serbia	SRB	763	1146	1	1	Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021	Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021
Singapore	SGP	310	250	2	0	Song, D.X.,Zhang, J.X.,Li, D. (2002-12-31). A checklist of spiders from Singapore (Arachnida: Araneae). Raffles Bulletin of Zoology 50 (2) : 359-388. ScholarBank@NUS Repository.	Song, D.X.,Zhang, J.X.,Li, D. (2002-12-31). A checklist of spiders from Singapore (Arachnida: Araneae). Raffles Bulletin of Zoology 50 (2) : 359-388. ScholarBank@NUS Repository.
Slovenia	SVN	755	1259	2	0	Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021	Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021
South Africa	ZAF	2253	2114	17	17	FOORD, S.H., DIPPENAAR-SCHOEMAN, A.S., HADDAD, C.R., LYLE, R., LOTZ, L.N., SETHUSA, T. & RAIMONDO, D. 2020. The South African National Red List of spiders: patterns, threats, and conservation. Journal of Arachnology 48: 110�118.	World Spider Catalog
South Korea	KOR	893	957	3	2	National species list of Korea (2019) National Institute of Biological Resources	World Spider Catalog minus mactans
Spain	ESP	1379	2129	10	3	Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021	Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021
Sweden	SWE	736	1042	0	0	Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021	Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021
Switzerland	CHE	1008	1182	0	0	Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021	Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021
Syria	SYR	325	325	5	4	World Spider Catalog	World Spider Catalog minus mactans
Taiwan	TWN	428	428	1	0	World Spider Catalog	World Spider Catalog minus mactans
Tanzania	TZA	1064	1064	6	6	World Spider Catalog	World Spider Catalog
Thailand	THA	791	791	4	3	World Spider Catalog	World Spider Catalog minus mactans
Turkey	TUR	1129	1712	6	5	Dan�_man, T., Kunt, K.B. and �zk�t�k, R.S. 2021. The Checklist of the Spiders of Turkey. Version 2019, Online at http://www.spidersofturkey.info, accessed on 31 Aug 2021	Dan�_man, T., Kunt, K.B. and �zk�t�k, R.S. 2021. The Checklist of the Spiders of Turkey. Version 2019, Online at http://www.spidersofturkey.info, accessed on 31 Aug 2021
